gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
GLI2,,,,no,0.228,0.311,1060,752,0.446
GLI3,,,,no,1.492,1.077,6922,2604,-0.469
GLIPR2,,,,no,1.045,1.448,4848,3499,0.471
GLIS3,,,,no,0.521,0.185,2418,447,-1.494
GLOD4,,,,no,3.365,2.798,15617,6763,-0.266
GLP1R,,,,no,0.18,0.119,837,288,-0.598
GLRA1,,,,no,0.031,,142,0,
GLRA3,,,,no,0.042,0.07,193,169,0.75
GLRB,,,,no,0.228,0.233,1056,562,0.031
GLS,,,,no,5.187,5.438,24073,13144,0.068
GLS2,,,,no,0.212,0.317,983,765,0.58
GLT8D2,,,,no,0.113,0.231,524,559,1.035
GLUD1,,,,no,1.094,1.364,5075,3296,0.319
GLYR1,,,,no,2.066,1.871,9590,4521,-0.144
GMDS,,,,no,1.69,1.222,7841,2953,-0.468
GMEB1,,,,no,1.836,1.889,8522,4565,0.041
GMEB2,,,,no,2.6,1.444,12066,3491,-0.848
GMFB,,,,no,2.687,2.91,12469,7034,0.115
GMPS,,,,no,3.471,3.294,16108,7960,-0.076
GNA11,,,,no,1.308,1.19,6070,2876,-0.136
GNAI1,,,,no,0.97,0.8,4502,1933,-0.278
GNAI2,,,,no,12.457,10.944,57811,26450,-0.187
GNAO1,,,,no,0.247,0.254,1146,614,0.041
GNAQ,,,,no,2.594,2.307,12039,5575,-0.169
GNAT3,,,,no,0.073,0.122,338,296,0.75
GNB1L,,,,no,0.459,0.4,2128,966,-0.198
GNB3,,,,no,0.081,0.093,378,225,0.193
GNG4,,,,no,0.267,0.632,1240,1527,1.242
GNL2,,,,no,2.281,2.249,10586,5436,-0.02
GNPAT,,,,no,2.021,1.951,9377,4715,-0.051
GNRH1,,,,no,1.657,1.033,7691,2497,-0.682
GNRHR,,,,no,0.081,0.163,375,395,1.016
GNS,,,,no,5.395,4.329,25039,10462,-0.318
GOLGA2,,,,no,3.012,2.399,13980,5797,-0.329
GOLPH3,,,,no,7.457,6.356,34605,15362,-0.23
GORAB,,,,no,1.604,1.493,7446,3609,-0.104
GOT1,,,,no,2.854,2.056,13243,4968,-0.473
GP1BA,,,,no,0.07,0.134,323,325,0.95
GP5,,,,no,0.048,0.069,225,167,0.511
GP6,,,,no,0.062,0.1,288,242,0.69
GPATCH11,,,,no,0.717,0.793,3329,1916,0.144
GPBP1,,,,no,6.052,4.821,28087,11651,-0.328
GPBP1L1,,,,no,8.054,6.545,37380,15819,-0.299
GPC5-AS1,,,,no,0.053,0.086,246,207,0.692
GPER1,,,,no,0.06,0.059,280,142,-0.038
GPHN,,,,no,0.628,0.575,2916,1390,-0.128
GPN1,,,,no,3.183,2.437,14771,5890,-0.385
GPN2,,,,no,0.98,1.014,4549,2450,0.048
GPR1,,,,no,0.068,0.098,314,236,0.529
GPR12,,,,no,0.078,0.176,364,425,1.165
GPR135,,,,no,0.123,0.195,570,472,0.669
GPR137,,,,no,1.64,0.756,7611,1826,-1.118
GPR139,,,,no,0.026,0.045,121,109,0.791
GPR149,,,,no,0.072,0.159,335,384,1.138
GPR158,,,,no,0.022,,101,0,
GPR162,,,,no,0.338,0.299,1570,722,-0.179
GPR17,,,,no,0.033,,151,0,
GPR174,,,,no,1.736,2.439,8057,5895,0.491
GPR22,,,,no,0.059,0.104,275,251,0.81
GPR26,,,,no,,0.043,0,103,
GPR3,,,,no,0.068,0.139,314,335,1.035
GPR34,,,,no,1.406,1.004,6526,2427,-0.486
GPR37,,,,no,0.047,,218,0,
GPR37L1,,,,no,0.053,0.093,247,224,0.8
GPR39,,,,no,0.126,0.122,584,294,-0.049
GPR4,,,,no,0.114,0.145,529,350,0.345
GPR55,,,,no,0.147,0.282,680,681,0.943
GPR63,,,,no,0.134,0.132,623,320,-0.02
GPR83,,,,no,0.034,0.062,158,151,0.876
GPR85,,,,no,0.061,0.07,284,169,0.192
GPR88,,,,no,0.121,0.194,560,469,0.685
GPRASP1,,,,no,4.41,3.353,20467,8103,-0.396
GPRASP2,,,,no,0.652,0.701,3024,1695,0.106
GPRC5B,,,,no,1.458,2.48,6767,5993,0.766
GPRC5C,,,,no,1.583,1.034,7348,2499,-0.615
GPRIN2,,,,no,0.217,0.174,1008,421,-0.318
GPT,,,,no,0.071,0.129,329,311,0.86
GRAMD1A,,,,no,10.082,6.179,46791,14933,-0.706
GRAMD2B,,,,no,1.431,0.698,6640,1688,-1.035
GRB2,,,,no,11.697,11.184,54287,27030,-0.065
GREB1L,,,,no,0.08,0.082,369,198,0.043
GREM1,,,,no,0.032,0.05,149,120,0.629
GREM2,,,,no,0.065,0.115,300,279,0.837
GRHL2,,,,no,2.375,2.165,11021,5233,-0.133
GRIA1,,,,no,0.033,0.048,151,117,0.573
GRIA2,,,,no,0.047,0.058,218,140,0.302
GRIA4,,,,no,0.189,0.317,879,767,0.745
GRID1,,,,no,0.097,0.135,448,326,0.483
GRIK3,,,,no,0.05,0.059,232,142,0.233
GRIK4,,,,no,0.06,0.074,278,180,0.314
GRIK5,,,,no,0.142,0.154,660,371,0.11
GRIN1,,,,no,0.049,,227,0,
GRIN2B,,,,no,0.027,,124,0,
GRIN2C,,,,no,0.027,0.053,123,127,0.987
GRIN2D,,,,no,0.084,0.091,392,219,0.101
GRK2,,,,no,14.064,9.768,65269,23608,-0.526
GRK5,,,,no,2.008,1.962,9317,4741,-0.033
GRM2,,,,no,0.123,0.086,571,208,-0.516
GRM3,,,,no,0.029,0.062,136,150,1.083
GRM4,,,,no,0.078,0.109,360,263,0.488
GRM5,,,,no,0.207,0.356,961,860,0.781
GRM7,,,,no,0.055,0.088,255,212,0.675
GRN,,,,no,15.849,8.832,73553,21347,-0.843
GRP,,,,no,0.039,0.076,180,183,0.965
GRPR,,,,no,0.107,0.083,496,201,-0.362
GRWD1,,,,no,2.901,2.12,13461,5124,-0.452
GSDMB,,,,no,4.13,3.22,19169,7782,-0.359
GSDMC,,,,no,0.345,0.306,1600,739,-0.173
GSE1,,,,no,4.259,3.981,19765,9622,-0.097
GSK3A,,,,no,5.482,3.533,25443,8540,-0.634
GSK3B,,,,no,1.651,1.489,7661,3598,-0.149
GSR,,,,no,4.715,3.43,21881,8291,-0.459
GSS,,,,no,2.69,1.75,12486,4229,-0.621
GSTM1,,,,no,0.712,1.903,3305,4600,1.418
GSTM3,,,,no,1.766,1.191,8198,2879,-0.568
GSTO1,,,,no,15.49,10.238,71890,24744,-0.597
GSTZ1,,,,no,3.367,2.476,15626,5984,-0.444
GSX2,,,,no,0.029,0.051,136,124,0.808
GTF2I,,,,no,17.1,12.234,79361,29569,-0.483
GTF3C1,,,,no,3.458,2.85,16046,6889,-0.279
GTPBP1,,,,no,6.593,4.939,30597,11936,-0.417
GTPBP10,,,,no,0.969,1.365,4496,3298,0.494
GTPBP4,,,,no,5.832,5.018,27067,12128,-0.217
GUCA1A,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.022,,104,0,
GUCY1A2,,,,no,0.177,0.265,821,641,0.584
GUCY2C,,,,no,0.058,0.122,267,296,1.09
GUSB,,,,no,10.662,11.847,49483,28633,0.152
GXYLT2,,,,no,3.445,5.123,15988,12382,0.573
GYG2,,,,no,0.042,0.094,197,226,1.139
GYPA,,,,no,0.087,0.134,403,323,0.622
GYPB,,,,no,0.148,0.251,685,607,0.767
GYS1,,,,no,4.155,2.979,19284,7200,-0.48
GZMA,,,,no,0.236,0.334,1094,807,0.502
GZMB,,,,no,0.07,0.113,325,274,0.695
GZMH,,,,no,0.051,0.072,238,174,0.489
GZMK,,,,no,0.19,0.203,883,490,0.092
H19,,,,no,3.579,3.423,16612,8274,-0.064
H2AFX,,,,no,1.875,1.399,8701,3381,-0.422
H3F3B,,,,no,9.446,18.631,43838,45028,0.98
HABP2,,,,no,0.1,0.081,463,195,-0.306
HADHA,,,,no,11.544,8.898,53574,21505,-0.376
HADHB,,,,no,4.302,3.828,19965,9253,-0.168
HAMP,,,,no,0.03,,138,0,
HAP1,,,,no,0.325,0.393,1510,949,0.271
HAS1,,,,no,0.034,0.058,159,141,0.768
HAS2,,,,no,0.152,0.23,704,557,0.603
HAVCR1,,,,no,0.184,0.215,854,519,0.223
HAVCR2,,,,no,1.267,0.971,5882,2347,-0.384
HAX1,,,,no,1.947,1.796,9034,4340,-0.116
HBEGF,,,,no,0.104,0.168,484,405,0.684
HBG1,,,,no,0.054,0.108,249,260,1.004
HBS1L,,,,no,2.836,2.104,13161,5084,-0.431
HBZ,,,,no,0.057,0.058,265,139,0.01
HCAR2,,,,no,0.629,1.072,2918,2592,0.77
HCAR3,,,,no,0.314,0.422,1456,1019,0.426
HCFC1,,,,no,4.254,3.152,19742,7618,-0.433
HCK,,,,no,2.646,2.512,12279,6072,-0.075
HCN2,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.344,0.309,1595,747,-0.153
HCN3,,,,no,0.261,0.282,1210,681,0.112
HCN4,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.042,0.05,197,121,0.238
HCRT,,,,no,0.054,0.063,250,152,0.223
HCRTR1,,,,no,0.026,,119,0,
HCRTR2,,,,no,0.05,0.084,233,202,0.735
HDAC1,,,,no,7.862,6.41,36488,15491,-0.295
HDAC10,,,,no,2.069,2.197,9603,5309,0.086
HDAC2,,,,no,6.268,5.536,29087,13379,-0.179
HDAC3,,,,no,4.235,2.898,19654,7005,-0.547
HDAC4,,,,no,1.969,1.545,9136,3733,-0.35
HDAC5,,,,no,1.605,1.182,7450,2857,-0.441
HDAC6,,,,no,3.888,3.898,18042,9421,0.004
HDAC8,,,,no,1.291,1.513,5992,3657,0.229
HDAC9,,,,no,0.733,0.579,3402,1400,-0.34
HDC,,,,no,0.124,0.096,576,231,-0.377
HEATR3,,,,no,2.017,2.159,9363,5217,0.098
HEATR5A,,,,no,0.428,0.4,1986,967,-0.097
HEATR5B,,,,no,2.829,2.284,13129,5519,-0.309
HEATR6,,,,no,1.328,1.269,6164,3067,-0.066
HECA,,,,no,10.536,7.762,48897,18759,-0.441
HECTD4,,,,no,4.364,3.835,20254,9269,-0.186
HELLS,,,,no,1.106,0.926,5133,2239,-0.256
HEPACAM,,,,no,0.025,0.046,115,111,0.89
HERC2,,,,no,5.42,5.615,25156,13570,0.051
HERC6,,,,no,3.26,2.621,15131,6335,-0.315
HES1,,,,no,0.669,0.953,3106,2304,0.51
HES4,,,,no,0.226,0.126,1050,304,-0.847
HES6,,,,no,0.702,0.718,3259,1735,0.032
HESX1,,,,no,0.281,0.348,1306,841,0.306
HEXA,,,,no,7.398,6.932,34332,16753,-0.094
HEXB,,,,no,4.273,3.783,19830,9142,-0.176
HEXIM1,,,,no,1.69,1.173,7844,2834,-0.527
HEY1,,,,no,1.072,0.72,4974,1740,-0.574
HFE,,,,no,0.538,0.591,2495,1429,0.137
HGF,,,,no,0.317,0.593,1472,1434,0.904
HGH1,,,,no,1.095,1.0,5081,2418,-0.13
HGS,,,,no,2.581,1.104,11980,2669,-1.225
HHEX,,,,no,0.559,0.764,2595,1846,0.45
HHLA2,,,,no,0.057,0.073,265,176,0.351
HIF1A,,,,no,8.39,7.508,38939,18147,-0.16
HIPK2,,,,no,6.962,3.459,32310,8361,-1.009
HIPK3,,,,no,6.973,6.2,32361,14984,-0.17
HIVEP2,,,,no,2.33,2.545,10812,6152,0.128
HIVEP3,,,,no,4.512,6.648,20941,16067,0.559
HK1,,,,no,5.809,3.873,26959,9360,-0.585
HK2,,,,no,1.778,0.842,8253,2035,-1.079
HLX,,,,no,1.13,1.005,5243,2428,-0.169
HMCN1,,,,no,0.073,0.113,339,273,0.629
HMGA1,,,,no,3.142,1.961,14582,4739,-0.68
HMGA2,,,,no,0.247,0.434,1147,1049,0.812
HMGB2,,,,no,0.254,0.369,1180,892,0.538
HMGB3,,,,no,0.956,1.044,4436,2524,0.128
HMGCR,,,,no,1.979,1.805,9184,4362,-0.133
HMGN3,,,,no,1.094,1.147,5077,2771,0.068
HMGN5,,,,no,0.607,0.447,2818,1081,-0.441
HMMR,,,,no,0.346,0.33,1607,798,-0.069
HMOX1,,,,no,1.93,1.765,8958,4267,-0.129
HMX2,,,,no,0.054,0.091,252,219,0.739
HNF1A,,,,no,0.069,0.11,318,266,0.684
HNF1B,,,,no,0.102,0.063,473,153,-0.687
HNF4A,,,,no,0.098,0.134,453,323,0.453
HNMT,,,,no,1.352,1.534,6273,3707,0.182
HNRNPA1L2,,,,no,38.481,26.677,178587,64474,-0.529
HNRNPD,,,,no,13.647,11.377,63336,27496,-0.263
HNRNPF,,,,no,11.185,8.691,51908,21005,-0.364
HNRNPH1,,,,no,37.479,31.193,173938,75390,-0.265
HNRNPLL,,,,no,4.84,3.84,22462,9280,-0.334
HNRNPM,,,,no,21.335,17.227,99012,41635,-0.309
HNRNPUL1,,,,no,22.718,13.774,105432,33291,-0.722
HOOK3,,,,no,1.619,1.265,7515,3057,-0.356
HOPX,,,,no,1.105,1.017,5127,2459,-0.119
HORMAD2,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.077,0.173,359,418,1.161
HOTAIR,,,,no,0.044,0.076,202,184,0.807
HOXA10,,,,no,0.035,0.053,163,127,0.581
HOXA11,,,,no,0.048,0.094,225,226,0.948
HOXA13,,,,no,0.035,0.075,164,181,1.084
HOXA5,,,,no,0.057,0.1,264,241,0.81
HOXA9,,,,no,0.055,0.082,255,198,0.576
HOXB13,,,,no,0.103,0.108,479,261,0.065
HOXB4,,,,no,0.599,0.698,2781,1688,0.221
HOXB5,,,,no,0.051,0.074,235,178,0.54
HOXB6,,,,no,0.137,0.14,638,339,0.029
HOXB7,,,,no,3.418,4.663,15863,11269,0.448
HOXB9,,,,no,0.069,0.066,322,160,-0.068
HOXC11,,,,no,0.035,0.053,161,129,0.622
HOXC13,,,,no,0.032,0.049,149,118,0.605
HOXD10,,,,no,0.077,0.114,356,275,0.569
HOXD9,,,,no,0.362,0.296,1681,715,-0.292
HPCA,,,,no,0.071,0.1,328,242,0.503
HPCAL1,,,,no,4.655,3.359,21605,8118,-0.471
HPD,,,,no,0.068,,314,0,
HPGD,,,,no,1.906,0.651,8846,1573,-1.55
HPGDS,,,,no,0.19,0.146,884,353,-0.383
HPRT1,,,,no,0.637,0.612,2955,1480,-0.056
HPS5,,,,no,2.553,2.134,11849,5157,-0.259
HPSE,,,,no,1.35,1.347,6265,3256,-0.003
HPSE2,,,,no,0.077,0.143,358,345,0.888
HRAS,,,,no,2.705,1.498,12553,3620,-0.853
HRH1,,,,no,0.51,0.494,2369,1194,-0.047
HRH2,,,,no,1.022,1.434,4743,3467,0.489
HRH3,,,,no,0.039,0.065,182,158,0.737
HRH4,,,,no,0.069,0.127,322,307,0.872
HRK,,,,no,0.19,0.307,881,741,0.692
HS3ST2,,,,no,0.24,0.278,1116,671,0.207
HS3ST3A1,,,,no,0.22,0.223,1021,539,0.02
HS3ST5,,,,no,0.06,0.098,277,236,0.71
HS6ST2,,,,no,0.222,0.145,1031,350,-0.617
HSD11B1,,,,no,0.022,,103,0,
HSD11B2,,,,no,0.298,0.142,1382,343,-1.069
HSD17B1,,,,no,0.22,0.242,1020,584,0.137
HSD17B10,,,,no,2.843,2.209,13193,5340,-0.364
HSD17B2,,,,no,0.164,0.202,763,489,0.299
HSD17B6,,,,no,0.039,0.055,181,134,0.508
HSD3B1,,,,no,0.026,0.042,121,101,0.681
HSDL1,,,,no,2.407,1.78,11169,4303,-0.435
HSF1,,,,no,4.758,3.246,22083,7846,-0.552
HSF4,,,,no,0.936,0.866,4345,2092,-0.113
HSPA1L,,,,no,0.443,0.355,2055,858,-0.319
HSPA2,,,,no,0.752,0.289,3492,699,-1.379
HSPA4,,,,no,2.509,2.046,11642,4944,-0.294
HSPA6,,,,no,0.735,0.948,3410,2292,0.368
HSPA8,,,,no,20.16,16.42,93559,39684,-0.296
HSPA9,,,,no,12.62,10.794,58566,26089,-0.225
HSPB11,,,,no,1.985,2.261,9212,5465,0.188
HSPB3,,,,no,0.204,0.242,948,586,0.247
HSPB8,,,,no,2.574,1.946,11946,4704,-0.403
HSPBP1,,,,no,0.768,0.87,3564,2102,0.18
HSPD1,,,,no,6.67,6.858,30953,16576,0.04
HSPG2,,,,no,6.555,7.331,30420,17718,0.161
HTATIP2,,,,no,1.217,0.907,5647,2193,-0.423
HTR1D,,,,no,0.047,0.076,217,184,0.703
HTR1E,,,,no,0.024,0.06,111,146,1.337
HTR2A,,,,no,0.092,0.155,427,375,0.754
HTR2B,,,,no,0.16,0.21,744,507,0.388
HTR2C,,,,no,0.032,0.044,147,107,0.483
HTR3A,,,,no,0.392,0.298,1817,720,-0.394
HTR4,,,,no,1.164,0.421,5402,1018,-1.466
HTR5A,,,,no,0.06,0.103,278,249,0.782
HTR6,,,,no,0.033,,152,0,
HTR7,,,,no,0.129,0.184,597,444,0.514
HTRA1,,,,no,2.716,3.093,12606,7475,0.187
HTRA2,,,,no,1.855,1.481,8610,3580,-0.325
HTT,,,,no,6.501,4.765,30170,11517,-0.448
HUWE1,,,,no,6.666,6.033,30938,14580,-0.144
HYOU1,,,,no,8.797,6.508,40827,15728,-0.435
IAPP,pancreatic_endocrine,"Pancreatic islet hormone; restricted to islet endocrine lineages (β, α, δ, γ/PP, ε). Not in thymus.",,yes,0.042,0.078,193,189,0.911
IARS2,,,,no,4.195,3.358,19467,8115,-0.321
ICA1,,,,no,1.618,0.933,7509,2255,-0.794
ICAM1,,,,no,1.178,1.086,5468,2624,-0.118
ICAM2,,,,no,2.047,2.514,9502,6077,0.296
ICAM3,,,,no,3.862,2.382,17921,5757,-0.697
ICAM4,,,,no,0.414,0.351,1922,849,-0.238
ICAM5,,,,no,0.265,0.17,1232,412,-0.639
ICOS,,,,no,1.231,1.175,5712,2841,-0.066
ICOSLG,,,,no,2.234,1.279,10370,3091,-0.805
ID4,,,,no,0.124,0.137,577,331,0.14
IDE,,,,no,1.173,0.865,5446,2090,-0.44
IDH1,,,,no,1.974,1.561,9161,3772,-0.339
IDH2,,,,no,3.222,2.423,14953,5856,-0.411
IDO1,,,,no,1.655,0.868,7681,2098,-0.931
IDUA,,,,no,7.275,3.622,33764,8754,-1.006
IFI16,,,,no,4.732,4.385,21961,10597,-0.11
IFI35,,,,no,3.891,2.912,18057,7039,-0.418
IFI44L,,,,no,6.488,5.796,30109,14009,-0.163
IFI6,,,,no,12.154,9.482,56407,22918,-0.358
IFIH1,,,,no,2.327,1.998,10799,4829,-0.22
IFIT1,,,,no,4.426,3.116,20541,7530,-0.507
IFIT2,,,,no,2.429,2.591,11274,6261,0.093
IFIT3,,,,no,5.552,5.088,25766,12296,-0.126
IFITM1,,,,no,9.07,7.691,42094,18588,-0.238
IFITM2,,,,no,5.655,4.643,26244,11221,-0.285
IFITM3,,,,no,11.453,11.183,53151,27027,-0.034
IFNA1,,,,no,0.09,0.142,416,342,0.659
IFNA17,,,,no,0.128,0.227,595,549,0.825
IFNA2,,,,no,0.14,0.211,648,509,0.593
IFNA5,,,,no,0.081,0.162,378,392,0.994
IFNA7,,,,no,0.105,0.197,487,477,0.911
IFNA8,,,,no,0.111,0.189,514,456,0.769
IFNAR1,,,,no,3.373,4.099,15656,9906,0.281
IFNAR2,,,,no,1.394,1.912,6468,4620,0.456
IFNB1,,,,no,0.047,0.092,219,222,0.961
IFNG,,,,no,0.073,0.156,339,376,1.091
IFNGR1,,,,no,8.737,6.208,40546,15004,-0.493
IFNGR2,,,,no,3.376,2.574,15670,6221,-0.392
IFNL1,,,,no,0.023,,105,0,
IFNL2,,,,no,0.024,0.046,111,110,0.928
IFNL3,,,,no,0.039,0.072,183,174,0.869
IFNW1,,,,no,0.108,0.195,501,471,0.852
IFRD1,,,,no,1.454,1.465,6748,3541,0.011
IFT57,,,,no,1.534,1.544,7120,3731,0.009
IGBP1,,,,no,3.517,3.144,16321,7599,-0.162
IGF1,,,,no,0.799,0.571,3708,1380,-0.485
IGF1R,,,,no,5.904,3.809,27401,9206,-0.632
IGF2,,,,no,0.217,0.257,1009,620,0.239
IGF2BP1,,,,no,0.09,0.087,420,211,-0.052
IGF2BP2,,,,no,0.838,0.913,3887,2207,0.125
IGF2BP3,,,,no,3.126,1.322,14506,3194,-1.242
IGF2R,,,,no,12.792,9.688,59366,23414,-0.401
IGFBP1,,,,no,0.052,,241,0,
IGFBP2,,,,no,3.624,1.39,16820,3359,-1.383
IGFN1,,,,no,0.098,0.079,454,192,-0.3
IGHE,,,,no,1.061,0.465,4922,1124,-1.189
IGSF1,,,,no,0.181,0.122,840,294,-0.573
IGSF3,,,,no,2.014,1.194,9348,2886,-0.754
IGSF8,,,,no,2.013,2.088,9340,5046,0.053
IGSF9B,,,,no,1.156,1.367,5365,3304,0.242
IHH,,,,no,0.037,,172,0,
IKBKB,,,,no,6.533,5.319,30318,12855,-0.297
IKBKE,,,,no,5.342,5.322,24792,12862,-0.005
IKBKG,,,,no,5.586,2.413,25926,5831,-1.211
IKZF1,,,,no,11.835,8.602,54927,20790,-0.46
IKZF2,,,,no,3.442,5.851,15972,14141,0.766
IKZF3,,,,no,3.949,2.637,18328,6374,-0.583
IKZF4,,,,no,1.109,0.897,5145,2169,-0.305
IL10,,,,no,0.144,0.223,669,539,0.63
IL10RA,,,,no,4.249,3.605,19720,8713,-0.237
IL10RB,,,,no,1.326,1.657,6154,4004,0.321
IL11,,,,no,0.103,0.103,479,249,-0.003
IL11RA,,,,no,4.086,3.195,18964,7723,-0.355
IL12A,,,,no,0.244,0.38,1133,918,0.638
IL12B,,,,no,0.075,0.115,347,279,0.627
IL12RB1,,,,no,0.698,0.374,3240,905,-0.899
IL12RB2,,,,no,0.321,0.281,1492,679,-0.195
IL13,,,,no,0.142,0.186,660,450,0.389
IL13RA1,,,,no,5.542,4.292,25721,10374,-0.369
IL13RA2,,,,no,0.586,0.425,2720,1026,-0.465
IL15,,,,no,1.075,0.847,4991,2048,-0.344
IL15RA,,,,no,0.223,0.221,1036,534,-0.015
IL16,,,,no,10.09,11.939,46827,28856,0.243
IL17A,,,,no,0.122,0.177,566,428,0.538
IL17B,,,,no,0.039,,182,0,
IL17D,,,,no,0.058,0.125,269,303,1.113
IL17F,,,,no,0.029,0.055,136,134,0.92
IL17RA,,,,no,4.789,3.637,22224,8790,-0.397
IL17RB,,,,no,0.213,0.125,989,303,-0.765
IL18,,,,no,1.559,1.307,7233,3158,-0.254
IL18BP,,,,no,1.091,1.039,5065,2511,-0.071
IL18R1,,,,no,1.368,0.863,6350,2085,-0.665
IL18RAP,,,,no,0.213,0.197,987,476,-0.111
IL19,,,,no,0.029,0.047,133,113,0.706
IL1A,,,,no,0.074,0.112,343,271,0.601
IL1B,,,,no,0.144,0.243,669,588,0.755
IL1F10,,,,no,0.063,0.102,294,247,0.69
IL1R1,,,,no,3.756,2.286,17432,5526,-0.716
IL1RAP,,,,no,1.016,1.031,4713,2493,0.022
IL1RL1,,,,no,0.16,0.106,744,256,-0.598
IL1RL2,,,,no,0.185,0.22,859,532,0.25
IL1RN,,,,no,0.461,0.46,2140,1112,-0.003
IL2,,,,no,0.08,0.113,371,274,0.504
IL20,,,,no,0.034,0.093,159,225,1.442
IL21,,,,no,0.089,0.144,411,349,0.705
IL21R,,,,no,4.774,3.125,22158,7552,-0.612
IL22,,,,no,0.112,0.174,521,421,0.634
IL22RA1,,,,no,0.07,0.066,326,160,-0.086
IL23A,,,,no,0.052,0.075,240,182,0.542
IL23R,,,,no,0.077,0.125,359,301,0.687
IL24,,,,no,0.047,0.092,220,223,0.961
IL25,,,,no,0.041,0.06,188,146,0.576
IL26,,,,no,0.142,0.252,658,610,0.832
IL27RA,,,,no,4.894,4.486,22712,10842,-0.126
IL2RA,,,,no,1.198,0.508,5560,1228,-1.238
IL2RB,,,,no,1.707,1.65,7924,3989,-0.049
IL2RG,,,,no,6.388,5.975,29647,14441,-0.096
IL3,,,,no,0.025,0.041,115,100,0.74
IL31,,,,no,0.05,0.095,231,230,0.935
IL32,,,,no,4.324,5.168,20066,12491,0.257
IL33,,,,no,0.129,0.218,597,527,0.761
IL34,,,,no,0.205,0.225,952,544,0.134
IL36G,,,,no,0.086,0.128,400,309,0.569
IL37,,,,no,0.051,0.053,235,127,0.053
IL3RA,,,,no,0.868,1.123,4027,2713,0.371
IL4,,,,no,0.034,0.055,160,134,0.685
IL4R,,,,no,2.499,2.514,11596,6075,0.009
IL5,,,,no,0.055,0.116,257,281,1.07
IL5RA,,,,no,0.157,0.269,727,650,0.78
IL6,,,,no,0.115,0.168,535,406,0.543
IL6R,,,,no,3.461,2.518,16061,6085,-0.459
IL6ST,,,,no,34.388,19.313,159593,46678,-0.832
IL7,,,,no,0.337,0.393,1565,950,0.221
IL7R,,,,no,27.132,10.793,125919,26085,-1.33
IL9,,,,no,0.052,0.065,242,157,0.317
IL9R,,,,no,0.148,0.233,685,564,0.661
ILDR2,,,,no,0.076,0.113,352,274,0.58
ILF3,,,,no,17.664,13.107,81978,31678,-0.43
ILK,,,,no,1.846,1.79,8568,4327,-0.044
IMMT,,,,no,4.358,2.92,20223,7058,-0.577
IMPDH1,,,,no,3.211,2.799,14900,6765,-0.198
IMPDH2,,,,no,5.69,5.528,26409,13360,-0.042
IMPG1,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.044,0.071,206,171,0.673
INA,,,,no,0.097,0.133,448,321,0.46
INCA1,,,,no,0.116,0.126,540,304,0.112
ING1,,,,no,2.858,2.937,13266,7098,0.039
INHA,,,,no,0.075,0.093,347,224,0.31
INHBA,,,,no,0.126,0.169,583,409,0.43
INHBB,,,,no,0.2,0.211,927,511,0.082
INKA2,,,,no,0.683,0.716,3169,1730,0.068
INMT,,,,no,0.084,0.158,388,381,0.915
INO80D,,,,no,2.794,2.062,12968,4984,-0.438
INPP4B,,,,no,0.452,0.427,2099,1033,-0.082
INPP5D,,,,no,6.092,3.733,28274,9023,-0.707
INPPL1,,,,no,8.177,7.049,37951,17036,-0.214
INSC,,,,no,0.084,0.112,388,271,0.423
INSL3,,,,no,0.124,0.11,574,267,-0.163
INSL4,,,,no,0.073,0.144,340,348,0.975
INSM1,,,,no,0.222,0.348,1028,841,0.652
INSR,,,,no,3.174,1.523,14729,3681,-1.059
INSRR,,,,no,0.067,0.066,312,159,-0.031
INVS,,,,no,2.305,2.465,10698,5958,0.097
IPO11,,,,no,1.598,1.597,7416,3860,-0.001
IPO5,,,,no,4.508,4.299,20923,10390,-0.069
IPO7,,,,no,5.786,5.783,26850,13977,-0.001
IPO9,,,,no,3.462,2.976,16068,7192,-0.218
IPP,,,,no,1.431,1.505,6639,3637,0.073
IQGAP1,,,,no,7.697,5.988,35719,14473,-0.362
IQGAP2,,,,no,4.259,2.413,19767,5832,-0.82
IQSEC1,,,,no,6.006,5.367,27871,12971,-0.162
IRAK1,,,,no,7.474,5.704,34688,13785,-0.39
IRAK2,,,,no,0.761,1.01,3531,2442,0.409
IRAK4,,,,no,1.503,1.542,6973,3726,0.037
IRF1,,,,no,8.914,10.206,41368,24666,0.195
IRF2BP1,,,,no,4.544,2.893,21089,6991,-0.652
IRF2BPL,,,,no,3.447,3.457,15996,8355,0.004
IRF3,,,,no,4.569,3.779,21205,9133,-0.274
IRF4,,,,no,3.302,1.688,15325,4079,-0.968
IRF5,,,,no,1.132,1.247,5254,3013,0.139
IRF7,,,,no,2.109,1.854,9786,4480,-0.186
IRF8,,,,no,3.139,2.725,14568,6586,-0.204
IRF9,,,,no,15.125,12.902,70194,31182,-0.229
IRGM,,,,no,0.058,0.073,267,176,0.34
